"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation"
"1","left_right_width","match",15,5,4,2.26578569994308,0.675,0.7,0.7,0.1,0.1,0.3,4.01327180000953,2.8,"Exp1A",-1,1.38777878078145e-17,0.025,2.2,0.785714285714286,0.5,0.4,-0.0999999999999999,0.178571428571429,0.181818181818182,0.0032467532467533
"1","left_right_width","match",16,4,3,1.00881840009242,0.466666666666667,0.5,0.5,0.25,0.3,0.15,1.65385639993474,1.65,"Exp1A",-1,0.05,0.0333333333333333,1.3,0.787878787878788,1,0.9,-0.1,0.606060606060606,0.692307692307692,0.0862470862470861
"1","left_right_width","initial",17,4,3,0.933273300062865,0.5,0.45,0.3,0.25,0.25,0.15,2.81543289986439,1.75,"Exp1A",-1,0,-0.05,1.15,0.657142857142857,1,0.75,-0.25,0.571428571428571,0.652173913043478,0.0807453416149069
"1","left_right_width","initial",18,5,4,0.847747099818662,0.5,0.5,1.2,0.1,0.1,0.2,4.7482108999975,2.1,"Exp1A",-1,1.38777878078145e-17,0,1.6,0.761904761904762,0.5,0.4,-0.0999999999999999,0.238095238095238,0.25,0.011904761904762
"1","left_right_width","initial",19,5,5,3.34923040005378,0.5,0.45,0.8,0.25,0.2,0.2,4.38231900008395,2.25,"Exp1A",0,-0.05,-0.05,2,0.888888888888889,1.25,1,-0.25,0.555555555555556,0.5,-0.0555555555555556
"1","left_right_width","match",20,3,2,0.876184300053865,1.8,4.1,1.6,0.4,0.4,0.4,7.70309289987199,4,"Exp1A",-1,0,2.3,4.5,1.125,1.2,0.8,-0.4,0.3,0.177777777777778,-0.122222222222222
"1","left_right_width","initial",21,3,2,0.864854499930516,0.7,0.8,1.6,0.4,0.4,0.3,8.09136560000479,1.8,"Exp1A",-1,-5.55111512312578e-17,0.1,1.2,0.666666666666667,1.2,0.8,-0.4,0.666666666666667,0.666666666666667,-1.11022302462516e-16
"1","left_right_width","initial",22,5,4,1.0239338001702,0.7,0.6,0.7,0.25,0.25,0.4,13.573447200004,3.05,"Exp1A",-1,5.55111512312578e-17,-0.1,2.05,0.672131147540984,1.25,1,-0.25,0.409836065573771,0.487804878048781,0.0779688124750101
"1","left_right_width","match",23,5,4,0.783489999826998,0.525,0.7,0.4,0.25,0.35,0.1,9.11866240017116,2.35,"Exp1A",-1,0.1,0.175,2.45,1.04255319148936,1.25,1.4,0.15,0.531914893617021,0.571428571428572,0.0395136778115502
"1","left_right_width","match",24,4,3,1.07543399999849,0.333333333333333,0.35,0.3,0.25,0.25,0.25,2.24677970004268,1.25,"Exp1A",-1,0,0.0166666666666667,0.95,0.76,1,0.75,-0.25,0.8,0.789473684210526,-0.0105263157894737
