"participant","stim_length","amount","center_to_center","w","trial_type","loop.thisN","response","key_resp.rt","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","next_5.rt","resp_group"
1,2.05,3,0.9,0.25,"initial",27,2,0.76027309987694,0.45,1.6,0.2,1.6,5.0315243001096,"left_right_width"
1,1.1,4,0.333333333333333,0.1,"match",28,3,1.00018989993259,0.3,0.7,0.1,0.4,3.29469330003485,"left_right_width"
1,4,5,0.9,0.4,"initial",29,4,0.727967099985108,0.15,0.7,0.45,1,3.38431639992632,"left_right_width"
1,2.5,4,0.7,0.4,"initial",30,3,0.955396400066093,0.25,0.9,0.4,0.95,3.63427179981954,"left_right_width"
1,1.9,3,0.9,0.1,"initial",31,2,1.30709499982186,0.35,1.6,0.15,1.3,2.90126299997792,"left_right_width"
1,1.4,4,0.383333333333333,0.25,"match",32,3,0.770770699949935,0.2,0.3,0.3,0.5,3.20146839995869,"left_right_width"
1,2.2,4,0.6,0.4,"match",33,3,1.26350670005195,0.35,0.6,0.4,0.7,1.99645750015043,"left_right_width"
1,2.4,5,0.5,0.4,"initial",34,4,1.07077479991131,0.15,0.7,0.35,0.5,9.79393509984948,"left_right_width"
1,2.2,4,0.7,0.1,"initial",35,3,0.939079000148922,0.25,0.7,0.1,0.75,3.55482920003124,"left_right_width"
1,1.9,4,0.5,0.4,"initial",36,3,0.638713999884203,0.25,0.7,0.4,0.7,5.22061840002425,"left_right_width"
1,2.2,5,0.525,0.1,"match",37,4,1.13032569992356,0.3,0.3,0.1,0.4,4.10715099982917,"left_right_width"
1,2.35,4,0.7,0.25,"initial",38,4,0.831938600167632,0.3,0.5,0.2,0.6,2.36690470017493,"left_right_width"
1,1.25,3,0.5,0.25,"initial",39,2,0.917987399967387,0.15,1.6,0.25,0.5,4.81518150004558,"left_right_width"
1,1.75,5,0.375,0.25,"match",40,4,1.24063990009017,0.35,0.9,0.2,0.5,6.40514899999835,"left_right_width"
1,1.5,4,0.466666666666667,0.1,"match",41,4,1.1262085000053,0.1,0.7,0.1,0.4,1.91165269981138,"left_right_width"
1,1.5,3,0.7,0.1,"initial",42,2,0.785891099832952,0.4,1.6,0.1,0.8,3.95343339978717,"left_right_width"
1,2.2,3,0.9,0.4,"initial",43,2,0.889532099943608,0.1,1.6,0.8,1.4,5.53567179990932,"left_right_width"
1,1.6,4,0.5,0.1,"initial",44,3,0.957848600111902,0.3,0.6,0.05,0.6,3.95780980004929,"left_right_width"
1,3.85,5,0.9,0.25,"initial",45,4,1.07294209999964,0.4,0.6,0.1,0.8,4.24417389999144,"left_right_width"
1,1.8,4,0.466666666666667,0.4,"match",46,3,0.849978799931705,0.25,0.9,0.45,0.55,5.13447689986788,"left_right_width"
1,2.5,5,0.525,0.4,"match",47,4,1.06677629984915,0.25,1.1,0.45,0.6,12.0775383000728,"left_right_width"
1,2.4,3,1,0.4,"match",48,3,1.00668710004538,0.35,1,0.35,1,0.85266079986468,"left_right_width"
1,2.9,5,0.7,0.1,"initial",49,4,0.723445200128481,0.1,0.5,0.1,0.7,1.45984999998473,"left_right_width"
1,2.9,3,1.4,0.1,"match",50,3,2.45958499982953,0.35,1.1,0.1,1.1,3.39940929994918,"left_right_width"
1,1.9,4,0.6,0.1,"match",51,3,0.712756299879402,0.15,1.1,0.15,1.1,0.777662700042129,"left_right_width"
1,3.85,3,1.8,0.25,"match",52,2,0.824699399992824,0.35,1.6,0.2,2.3,3.39864280004986,"left_right_width"
1,3.2,5,0.7,0.4,"initial",53,4,0.79923120001331,0.1,0.4,0.4,0.7,2.4636782000307,"left_right_width"
1,1.65,4,0.466666666666667,0.25,"match",0,3,0.945002000080422,0.35,1.1,0.25,0.65,2.31448019994423,"left_right_width"
1,1.65,3,0.7,0.25,"initial",1,2,0.654136400204152,0.2,1.6,0.3,0.8,3.70014349999838,"left_right_width"
1,2.25,3,1,0.25,"match",2,3,0.7274466000963,0.4,0.5,0.3,0.8,4.58542750007473,"left_right_width"
1,2.8,4,0.9,0.1,"initial",3,3,0.762745999963954,0.35,1.3,0.15,1.2,4.4911984000355,"left_right_width"
1,2.5,5,0.525,0.4,"match",4,3,0.900055800098926,0.45,0.5,0.5,0.7,3.27969820005819,"left_right_width"
1,2.4,5,0.5,0.4,"initial",5,4,0.728724399814382,0.1,0.8,0.5,0.6,3.4988563999068,"left_right_width"
1,3.2,5,0.7,0.4,"initial",6,4,0.807305400026962,0.3,1.2,0.35,0.6,6.35829110001214,"left_right_width"
1,3.05,3,1.4,0.25,"match",7,2,0.712160700000823,0.45,1.6,0.35,2,2.4431652999483,"left_right_width"
1,1.25,4,0.333333333333333,0.25,"match",8,3,1.31359480018727,0.4,0.5,0.4,0.5,0.925171900074929,"left_right_width"
1,1.9,3,0.9,0.1,"initial",9,2,1.65732860006392,0.4,1.6,0.2,1.1,2.53126959991641,"left_right_width"
1,4,3,1.8,0.4,"match",10,3,1.04338899999857,0.3,0.7,0.4,1.45,5.44985710014589,"left_right_width"
1,2.05,3,0.9,0.25,"initial",11,3,1.74923820002005,0.15,0.3,0.3,1.3,6.49444569996558,"left_right_width"
1,1.5,3,0.7,0.1,"initial",12,3,2.73155219992623,0.1,0.6,0.1,0.6,0.909756100038067,"left_right_width"
1,3.1,5,0.675,0.4,"match",13,4,0.735566399991512,0.15,0.6,0.35,0.7,3.20040900004096,"left_right_width"
1,2.35,4,0.7,0.25,"initial",14,3,0.945641699945554,0.1,1.1,0.4,1,5.09896180010401,"left_right_width"
1,3.85,3,1.8,0.25,"match",15,3,1.25542740011588,0.3,0.9,0.3,1.35,2.48271330003627,"left_right_width"
1,3.1,4,0.9,0.4,"initial",16,4,0.775474299909547,0.15,0.6,0.3,1,2.56600079988129,"left_right_width"
1,3.85,5,0.9,0.25,"initial",17,4,1.20341209997423,0.15,1,0.15,1,0.803055000025779,"left_right_width"
1,2.05,4,0.6,0.25,"match",18,3,0.946740900166333,0.15,1,0.15,1,0.793782600201666,"left_right_width"
1,2.1,5,0.5,0.1,"initial",19,5,1.18871739995666,0.15,0.9,0.15,0.75,2.18046780000441,"left_right_width"
1,2.2,4,0.6,0.4,"match",20,4,1.71155459992588,0.45,1.1,0.35,0.6,5.13057909999043,"left_right_width"
1,2.1,3,1,0.1,"match",21,3,1.11962180002593,0.3,1.3,0.1,0.95,4.7515266998671,"left_right_width"
1,2.2,3,0.9,0.4,"initial",22,2,0.784298700047657,0.2,1.6,0.6,1.6,3.34386610006914,"left_right_width"
1,2.95,4,0.9,0.25,"initial",23,3,0.844900500029325,0.15,1,0.35,1.05,2.00998060009442,"left_right_width"
1,1.75,5,0.375,0.25,"match",24,4,0.944282500073314,0.3,1.2,0.15,0.3,4.13673650007695,"left_right_width"
1,1.4,3,0.5,0.4,"initial",25,3,0.922737600049004,0.4,0.9,0.35,0.45,6.29047570005059,"left_right_width"
1,1.9,4,0.5,0.4,"initial",26,4,0.869111099978909,0.4,1,0.4,0.5,3.8173478001263,"left_right_width"
1,1.9,5,0.4125,0.25,"match",27,4,1.58315299986862,0.2,0.3,0.2,0.3,0.880041399970651,"left_right_width"
1,3.05,5,0.7,0.25,"initial",28,5,1.84295809990726,0.3,1.1,0.3,1.1,0.856261499924585,"left_right_width"
1,1.1,3,0.5,0.1,"initial",29,2,1.57436099997722,0.35,1.6,0.2,0.7,4.72602099995129,"left_right_width"
